agency,approxname,approxdept,state_code,google_name,google_address,lat,lon,type
Emeryville Police Dept,Emeryville,Police Dept,CA,Emeryville Police Department,"2449 Powell St, Emeryville, CA 94608, United States",37.8368267,-122.3039022,"police,point_of_interest,establishment"
Tukwila Police Dept,Tukwila,Police Dept,WA,Tukwila Police Department,"6200 Southcenter Blvd, Tukwila, WA 98188, United States",47.4631913,-122.2554084,"police,point_of_interest,establishment"
Myrtle Beach Police Dept,Myrtle Beach,Police Dept,SC,Myrtle Beach Police Department,"1101 N Oak St, Myrtle Beach, SC 29577, United States",33.6977953,-78.8820334,"local_government_office,police,point_of_interest,establishment"
Lumberton Police Dept,Lumberton,Police Dept,NC,Lumberton Police Department,"407 N Sycamore St, Lumberton, NC 28358, United States",34.6192666,-79.0028145,"police,point_of_interest,establishment"
City Of College Park Police Dept,City Of College Park,Police Dept,GA,College Park Police Department,"3717 College St, College Park, GA 30337, United States",33.6536774,-84.451652,"police,point_of_interest,establishment"
Bessemer Police Dept,Bessemer,Police Dept,AL,Bessemer Police Jail,"23 15th St N, Bessemer, AL 35020, United States",33.3970601,-86.9545547,"local_government_office,police,point_of_interest,establishment"
Branson Police Dept,Branson,Police Dept,MO,Branson Police Department,"110 W Maddux St # 100, Branson, MO 65616, United States",36.6411362,-93.2174611,"police,point_of_interest,establishment"
Hammond Police Dept,Hammond,Police Dept,LA,Hammond Police Department,"120 S Oak St, Hammond, LA 70401, United States",30.5030124,-90.4623146,"police,point_of_interest,establishment"
Fairfield Police Dept,Fairfield,Police Dept,AL,Fairfield Police Department,"5231 Court B, Fairfield, AL 35064, United States",33.4847842,-86.915295,"police,point_of_interest,establishment"
Bellmead Police Dept,Bellmead,Police Dept,TX,Bellmead Police Department,"701 Maxfield St, Waco, TX 76705, United States",31.5885174,-97.1008174,"police,point_of_interest,establishment"
Henderson Police Dept,Henderson,Police Dept,NC,Henderson Police Department,"200 Breckenridge St, Henderson, NC 27536, United States",36.3275446,-78.4042833,"police,point_of_interest,establishment"
East Point Police Dept,East Point,Police Dept,GA,East Point Police Department,"2727 E Point St, East Point, GA 30344, United States",33.680602,-84.4421714,"police,point_of_interest,establishment"
Anniston Police Dept,Anniston,Police Dept,AL,Anniston Police Department,"174 W 13th St, Anniston, AL 36201, United States",33.660843,-85.8326556,"police,point_of_interest,establishment"
Panama City Beach Police Dept,Panama City Beach,Police Dept,FL,Panama City Beach Police Substation,"536 Richard Jackson Blvd, Panama City Beach, FL 32407, United States",30.185971,-85.8186687,"police,point_of_interest,establishment"
Humble Police Dept,Humble,Police Dept,TX,Humble Police Department,"310 N Bender Ave, Humble, TX 77338, United States",29.9997835,-95.2678369,"police,point_of_interest,establishment"
Crossville Police Dept,Crossville,Police Dept,TN,Crossville Police Department,"141 Henry Ave , Crossville, TN 38555, Municipal Ave, Crossville, TN 38555, United States",35.9466899,-85.0283794,"police,point_of_interest,establishment"
Miami Beach Police Dept,Miami Beach,Police Dept,FL,Miami Beach Police Department,"1100 Washington Ave, Miami Beach, FL 33139, United States",25.78231,-80.133226,"local_government_office,police,point_of_interest,establishment"
Florida City Police Dept,Florida City,Police Dept,FL,Florida City Police Department,"404 W Palm Dr, Florida City, FL 33034, United States",25.4483049,-80.4828171,"police,point_of_interest,establishment"
Bastrop Police Dept,Bastrop,Police Dept,LA,Bastrop City Police Department,"202 E Jefferson Ave, Bastrop, LA 71220, United States",32.7783602,-91.9157066,"police,point_of_interest,establishment"
Bemidji Police Dept,Bemidji,Police Dept,MN,Bemidji City Police Department,"613 Minnesota Ave NW, Bemidji, MN 56601, United States",47.4739562,-94.8831946,"police,point_of_interest,establishment"
Bridgeton Police Dept,Bridgeton,Police Dept,MO,Bridgeton Police Department,"12355 Natural Bridge Rd, Bridgeton, MO 63044, United States",38.7566883,-90.4233779,"police,point_of_interest,establishment"
Chillicothe Police Dept,Chillicothe,Police Dept,OH,Chillicothe Police Department,"28 N Paint St, Chillicothe, OH 45601, United States",39.3341395,-82.9828783,"police,point_of_interest,establishment"
Douglas Police Dept,Douglas,Police Dept,GA,Douglas Police Department,"225 W Bryan St, Douglas, GA 31533, United States",31.5069475,-82.8521114,"police,point_of_interest,establishment"
North Myrtle Beach Police Dept,North Myrtle Beach,Police Dept,SC,North Myrtle Beach Police Department,"1015 2nd Ave S, North Myrtle Beach, SC 29582, United States",33.8276414,-78.6853177,"police,point_of_interest,establishment"
Whitehall Police Dept,Whitehall,Police Dept,OH,Whitehall Police Department,"365 S Yearling Rd, Columbus, OH 43213, United States",39.9683925,-82.8856073,"police,point_of_interest,establishment"
West Memphis Police Dept,West Memphis,Police Dept,AR,West Memphis Police-Detective,"626 E Broadway Blvd, West Memphis, AR 72301, United States",35.1469494,-90.1762862,"police,point_of_interest,establishment"
Springfield Police Dept,Springfield,Police Dept,MO,Springfield Police Department,"321 E Chestnut Expy, Springfield, MO 65802, United States",37.2159693,-93.290202,"police,point_of_interest,establishment"
Beckley Police Dept,Beckley,Police Dept,WV,Beckley Police Department,"340 Prince St, Beckley, WV 25801, United States",37.7774284,-81.1912401,"police,point_of_interest,establishment"
Denham Springs Police Dept,Denham Springs,Police Dept,LA,Denham Springs Police Department,"447 Lamm St, Denham Springs, LA 70726, United States",30.4804565,-90.9608447,"police,point_of_interest,establishment"
Spokane Police Dept,Spokane,Police Dept,WA,Spokane Police Department,"1100 W Mallon Ave, Spokane, WA 99260, United States",47.6655915,-117.4289708,"police,point_of_interest,establishment"
Gallup Police Dept,Gallup,Police Dept,NM,City of Gallup Police Department,"451 Boardman Dr, Gallup, NM 87301, United States",35.5235334,-108.70752,"police,point_of_interest,establishment"
Cordele Police Dept,Cordele,Police Dept,GA,Georgia State Patrol,"208 GA-300, Cordele, GA 31015, United States",31.9248551,-83.7782149,"police,point_of_interest,establishment"
North Little Rock Police Dept,North Little Rock,Police Dept,AR,N Little Rock Police Sub-Sta,"201 E Broadway St, North Little Rock, AR 72114, United States",34.7566908,-92.266257,"police,point_of_interest,establishment"
Athens Police Dept,Athens,Police Dept,TN,Athens City Police Department,"815 N Jackson St, Athens, TN 37303, United States",35.4511323,-84.5974435,"police,point_of_interest,establishment"
Selma Police Dept,Selma,Police Dept,AL,Selma Police Chief's Office,"1300 Alabama Ave, Selma, AL 36703, United States",32.4082999,-87.0173,"police,point_of_interest,establishment"
Benton Harbor Police Dept,Benton Harbor,Police Dept,MI,Benton Harbor Police Department,"200 E Wall St, Benton Harbor, MI 49022, United States",42.1151388,-86.4531424,"police,point_of_interest,establishment"
Hot Springs Police Dept,Hot Springs,Police Dept,AR,Hot Springs Police Department,"641 Malvern Ave, Hot Springs National Park, AR 71901, United States",34.505268,-93.04811,"police,point_of_interest,establishment"
Martinsville Police Dept,Martinsville,Police Dept,IN,Martinsville Police Department,"55 W Church St, Martinsville, VA 24112, United States",36.6908098,-79.8748004,"police,point_of_interest,establishment"
Lake City Police Dept,Lake City,Police Dept,FL,Lake City Police Department,"225 NW Main Blvd, Lake City, FL 32055, United States",30.191024,-82.639044,"police,point_of_interest,establishment"
Middletown Police Dept,Middletown,Police Dept,OH,Middletown Police Department,"1 Donham Plaza, Middletown, OH 45042, United States",39.5192017,-84.4012279,"police,point_of_interest,establishment"
Newport Police Dept,Newport,Police Dept,KY,Newport Police Department,"998 Monmouth St, Newport, KY 41071, United States",39.0872975,-84.4893605,"police,point_of_interest,establishment"
Orange City Police Dept,Orange City,Police Dept,FL,Orange City Police Department,"207 N Holly Ave, Orange City, FL 32763, United States",28.9495851,-81.2981253,"police,point_of_interest,establishment"
Talladega Police Dept,Talladega,Police Dept,AL,Talladega City Police Department,"203 South Street W, Talladega, AL 35160, United States",33.4327569,-86.1038243,"police,point_of_interest,establishment"
Gadsden Police Dept,Gadsden,Police Dept,AL,Gadsden City Police Department,"90 Broad St, Gadsden, AL 35901, United States",34.009474,-86.000309,"police,point_of_interest,establishment"
Union City Police Dept,Union City,Police Dept,GA,Union City Police Department,"5060 Union St, Union City, GA 30291, United States",33.5788134,-84.5532407,"police,point_of_interest,establishment"
Elkton Police Dept,Elkton,Police Dept,MD,Elkton Police Department,"100 Railroad Ave, Elkton, MD 21921, United States",39.6104936,-75.8307411,"police,point_of_interest,establishment"
Little Rock Police Dept,Little Rock,Police Dept,AR,Little Rock Police Department,"700 W Markham St, Little Rock, AR 72201, United States",34.749401,-92.277662,"police,point_of_interest,establishment"
Opa-Locka Police Dept,Opa-Locka,Police Dept,FL,Opa-locka Police Department,"2495 Ali Baba Ave, Opa-locka, FL 33054, United States",25.9064285,-80.2418634,"police,point_of_interest,establishment"
Forrest City Police Dept,Forrest City,Police Dept,AR,Forrest City Police Department,"225 N Rosser, Forrest City, AR 72335, United States",35.010423,-90.787285,"police,point_of_interest,establishment"
Puyallup Police Dept,Puyallup,Police Dept,WA,Puyallup Police Department-Jail,"311 W Pioneer Ave, Puyallup, WA 98371, United States",47.1907031,-122.296666,"police,point_of_interest,establishment"
Jasper Police Dept,Jasper,Police Dept,AL,Jasper Police Department,"1610 Alabama Ave, Jasper, AL 35501, United States",33.8351043,-87.2751367,"police,point_of_interest,establishment"
Forest Acres Police Dept,Forest Acres,Police Dept,SC,Forest Acres Police Department,"5205 Trenholm Rd, Columbia, SC 29206, United States",34.0195414,-80.9668017,"police,point_of_interest,establishment"
West Monroe Police Dept,West Monroe,Police Dept,LA,West Monroe Police Department,"2301 N 7th St, West Monroe, LA 71291, United States",32.5202246,-92.1487012,"police,point_of_interest,establishment"
Poplar Bluff City Police Dept,Poplar Bluff City,Police Dept,MO,Poplar Bluff Police Department,"330 N 2nd St, Poplar Bluff, MO 63901, United States",36.7577407,-90.3912855,"police,point_of_interest,establishment"
Alamo Police Dept,Alamo,Police Dept,TX,City of Alamo Police Department,"423 N Tower Rd, Alamo, TX 78516, United States",26.1867495,-98.1108304,"police,point_of_interest,establishment"
